Multiplicity;	Source;			Rate;	Target;

# компиляция монет из разных исторических эпох с анахронизмами
# плюс, стоит иметь в виду, что не все монеты являлись счетными единицами
# и их стоимость плавала соответственно весу металла и определялась рыночным курсом

# счетные и близкие к ним единицы, соответствующие древнеримской весовой системе
1;				ливр;			20;		соль
1;				соль;			1;		су
1;				су;				12;		денье
3;				денье;			1;		лиар

# это уже после Французской революции: заменили "королевский" ливр франком и заодно разделили его на десятичные единицы
1;				ливр;			1;		франк
1;				франк;			100;	сантим

# монеты
# луидор - просто золотая монета. Курс в 10 ливров - скорее ближе к эпохе д'Артаньяна. 
# Стоимость ливра понижалась вплоть до 20 ливров за луидор, позднее стала основой для стандарта золотой 20-франковой монеты
1;				луидор;			11;		ливр;
1;				наполеондор;	20;		франк

# пистоль - испанская монета дублон (2 эскудо), равная луидору
1;				пистоль;		1;		луидор
1;				квадрупль;		4;		пистоль;

# первоначально золотая, затем серебряная монета, стоимостью от 3 до 6 ливров в разные периоды
# cильно позднее д'Артаньяна название экю закрепилось за монетов в 5 франков
1;				экю;			3;		ливр

# соотношение пистоля и экю к ливру высчитано из следующего фрагмента романа:

# — Теперь давайте сочтем, сколько у нас всего. Портос?
# — Тридцать экю.
# — Арамис?
# — Десять пистолей.
# — У вас, д'Артаньян?
# — Двадцать пять.
# — Сколько это всего? — спросил Атос.
# — Четыреста семьдесят пять ливров! — сказал д`Артаньян, считавший, как Архимед

# (хотя в романе есть и другие соотношения, например, 3 экю = 3.1/3 ливра,
# а то и просто неточности (3 экю БОЛЬШЕ, чем 18 ливров))
