Multiplicity;	Source;			Rate;	Target;

# гривенно-кунная система (весовая). гривна кун - серебряные монеты (куны) весом в гривну
1;				гривна;			25;		куна
1;				куна;			2;		резана # буквально порезанная пополам монета
1;				гривна;			20;		ногата # другой вид монет
1;				куна;			6;		векша # возможно, медная монета
1;				векша;			1;		веверица

# о соотношении гривны и рубля единого мнения нет
1;				гривна;			1;		рубль
# 1;			гривна;			2;		рубль
# 1;			гривна;			4;		рубль


# собственные деньги (серебро)

# копейка - деньга новгородская, 1/100 гривны (рубля); сабельница - деньга московская
# соотношение установлено реформой Елены Глинской
# позже название копейка закрепилось, а московская монета стала называться просто деньгой
1;				копейка;		2;		деньга
1;				полушка;		1/2;	деньга

# мелкие медные монеты. разменивали как новгородскую, так и московскую деньги
# количественное соотношение по разным источникам разное, чаще встречается 120 к новгородке
# что может происходить от деления московки на 60 (копу) частей
120;			пуло;			1;		копейка

# первоначально - счетная единица, помогающая объединять разные монетные системы 
# окончательное соотношение установлено реформой Елены Глинской
1;				алтын;			6;		деньга

# рубль также являлся первоначально счетной единицей, причем понимался относительно алтына
100;			алтын;			3;		рубль

# при Алексее Михайловиче была попытка перечеканивать в рубли западные талеры 
# (иоахимсталер = ефимок, перечеканенный = ефимок с признаками)
# но в итоге в обороте они оценивались по фактическому весу
1;				ефимок;			64;		копейка

# при Петре I серебряный рубль был выпущен в виде монеты официально
# введены фракции рубля в виде серебряных монет
# и запущена мелкая медная монета, равноценная серебряной по номиналу
# монеты, имеющие собственный названия:
1;				гривенник;		10;		копейка
1;				полтина;		50;		копейка
1;				полуполтина;	25;		копейка
1;				полуполушка;	1/8;	копейка

# при Елизавете в присоединенной Ливонии чеканился ливонез, приравненный к прусскому талеру
1;				ливонез;		96;		копейка

# при Екатерине II вводится ассигнационный бумажный рубль, размениваемый на медную монету
# изначально курс был равен серебряному рублю, впоследствии ассигнационный рубль дешевел
# к моменту отказа от ассигнаций (реформа Канкрина) курс составил 3.5:1
# (отсюда происходит название "семишник" для двух копеек серебром - т.к. они равны 7-ми ассигнационным копейкам
1;				асс.руб;		100;	асс.коп
3.5;			асс.руб;		1;		рубль

# в период нахождения Царства Польского в составе Российской Империи
# в Польше продолжал ходить злотый
# выпускались в том числе монеты с двойным номиналом
# получающееся в итоге соотношение копейки к грошу 1:2 дало представление о том,
# что грош "вообще" - это половина копейки
# хотя ранее грош мог означать скорее 2 копейки
5;				злотый;			3/4;	рубль
1;				злотый;			30;		грош # половина копы

# название полушки в 1849 - 1866
1;				денежка;		1;		полушка

# империал - традиционно - золотая монета номиналом 10 рублей (серебром).
# с переходом России на золотой стандарт империал был приравнен к 15 рублям
1;				империал;		15;		рубль;

# червонец - исходно любая, в том числе иностранная, золотая монета без определенного номинала
# собственные червонцы регулярно чеканились в России начиная с Петра I 
# в советское время червонец (исходно параллельная рублю валюта) получил фиксированное значение
1;				червонец;		10;		рубль
